,,,,builtCAV_mech9prop_nomult,,builtCAV_mech9prop_nomult_1
AIR PRIMARY LOOP,VAV SYS 1,PRIMARY AIR DESIGN VOLUMETRIC FLOW RATE [M3/S],AUTO,       22.00,AUTO,       22.00
BOILER:SIMPLE,MAIN BOILER,NOMINAL CAPACITY [W],AUTO,   945513.78,AUTO,   987110.50
BRANCH,VAV SYS 1 MAIN BRANCH,MAXIMUM BRANCH FLOW RATE [M3/S],AUTO,       22.00,AUTO,       22.00
CONTROLLER:OUTSIDE AIR,VAV SYS 1 OA CONTROLLER,MAXIMUM OUTSIDE AIR FLOW RATE [M3/S],AUTO,       22.00,AUTO,       22.00
CONTROLLER:SIMPLE,VAV SYS 1 COOLING COIL CONTROLLER,MAX ACTUATED FLOW [M3/S],AUTO,    0.150000,AUTO,    0.030549
CONTROLLER:SIMPLE,VAV SYS 1 HEATING COIL CONTROLLER,MAX ACTUATED FLOW [M3/S],AUTO,    0.001000,AUTO,    0.001905
FAN:SIMPLE:VARIABLEVOLUME,VAV SYS 1 SUPPLY FAN,MAX FLOW RATE [M3/S],AUTO,       22.00,AUTO,       22.00
FAN:SIMPLE:VARIABLEVOLUME,VAV SYS 1 SUPPLY FAN,MIN FLOW RATE [M3/S],AUTO,        3.45,AUTO,        3.45
PLANT LOOP,CHILLED WATER LOOP CHILLED WATER LOOP,MAXIMUM LOOP VOLUMETRIC FLOW RATE [M3/S],AUTO,    0.150000,AUTO,    0.030549
PLANT LOOP,CHILLED WATER LOOP CHILLED WATER LOOP,VOLUME OF THE PLANT LOOP [M3],AUTO,      112.50,AUTO,       22.91
PLANT LOOP,HOT WATER LOOP HOT WATER LOOP,MAXIMUM LOOP VOLUMETRIC FLOW RATE [M3/S],AUTO,    0.020564,AUTO,    0.021468
PLANT LOOP,HOT WATER LOOP HOT WATER LOOP,VOLUME OF THE PLANT LOOP [M3],AUTO,       15.42,AUTO,       16.10
PUMP:CONSTANT SPEED,CHILLED WATER LOOP CHW SUPPLY PUMP,RATED POWER CONSUMPTION [W],AUTO,    38323.08,AUTO,     7804.96
PUMP:CONSTANT SPEED,CHILLED WATER LOOP CHW SUPPLY PUMP,RATED VOLUMETRIC FLOW RATE [M3/S],AUTO,    0.150000,AUTO,    0.030549
