Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PLENUM-1:Zone Mean Radiant Temperature [C](Hourly),SPACE1-1:Zone Mean Radiant Temperature [C](Hourly),SPACE2-1:Zone Mean Radiant Temperature [C](Hourly),SPACE3-1:Zone Mean Radiant Temperature [C](Hourly),SPACE4-1:Zone Mean Radiant Temperature [C](Hourly),SPACE5-1:Zone Mean Radiant Temperature [C](Hourly),PLENUM-1:Zone Operative Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly),SPACE1-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),SPACE2-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),SPACE3-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),SPACE4-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),SPACE5-1:Zone Ventilation Standard Density Volume Flow Rate [m3/s](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air Humidity Ratio [](Hourly),PLENUM-1:Zone Air Relative Humidity [%](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Humidity Ratio [](Hourly),SPACE1-1:Zone Air Relative Humidity [%](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Humidity Ratio [](Hourly),SPACE2-1:Zone Air Relative Humidity [%](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Humidity Ratio [](Hourly),SPACE3-1:Zone Air Relative Humidity [%](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Humidity Ratio [](Hourly),SPACE4-1:Zone Air Relative Humidity [%](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Humidity Ratio [](Hourly),SPACE5-1:Zone Air Relative Humidity [%](Hourly),HOT WATER LOOP HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),PLENUM-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE1-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE2-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE3-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE4-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),SPACE5-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),PLENUM-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE1-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE2-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE3-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE4-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE5-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),SPACE1-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),SPACE2-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),SPACE3-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),SPACE4-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),SPACE5-1 BASEBOARD HEAT:Baseboard Total Heating Rate [W](Hourly),MAIN BOILER:Boiler Heating Rate [W](Hourly),MAIN BOILER:Boiler NaturalGas Rate [W](Hourly) 
 01/14  01:00:00,8.85,19.293714003742675,20.335811110374742,20.372471914901546,20.30028003458534,20.373267426978437,21.27987811318796,19.331008885283378,20.29778512745242,20.339095745593344,20.2606661486415,20.3395766265046,21.288376684606348,0.0,0.0,0.0,0.0,0.0,19.36830376682408,0.006393607669006443,46.37731398224314,20.259759144530108,0.008068414321632026,55.22919878476576,20.305719576285142,0.00835188463151102,56.98159397584806,20.22105226269766,0.008345438847256583,57.2371379210318,20.305885826030764,0.008333746511396083,56.85884653552591,21.29687525602473,0.007488647118287318,48.133383453183754,66.28217727746775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  02:00:00,8.487499999999999,18.886275514531487,20.101343963716694,20.12692100595447,20.067325977345597,20.13189965206012,21.121458433604086,18.925471781850952,20.05483902457778,20.08885186435151,20.018606490439865,20.09445185342379,21.12177884530036,0.0,0.0,0.0,0.0,0.0,18.96466804917041,0.006393607669006441,47.55923224740622,20.008334085438864,0.007996507656059186,55.60085723174444,20.050782722748558,0.008269637699949142,57.32412207657081,19.969887003534133,0.008262996419789958,57.56646952718339,20.057004054787463,0.008252185667265466,57.182700781051736,21.122099256996627,0.007438855589555288,48.33255075152087,66.28217727746775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  03:00:00,8.2125,18.47639594661268,19.955103824269784,19.97252039173796,19.924039718124334,19.970138807132393,21.01083361562317,18.51767650454499,19.92841224635022,19.952128045677103,19.89723793189749,19.949614635322373,21.02524294927698,0.0,0.0,0.0,0.0,0.0,18.558957062477297,0.006393607669006441,48.781369525849406,19.901720668430656,0.00795585648571669,55.68859851140691,19.931735699616247,0.008222606789873861,57.424437861499754,19.870436145670645,0.00821587003618618,57.59647455548726,19.92909046351236,0.008205576557860762,57.3164714147147,21.039652282930792,0.007411783504902009,48.40331362214964,66.28217727746775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  04:00:00,8.1125,18.09488800207845,19.847297322405982,19.85772759851919,19.820952372516675,19.854290799501193,20.91739142450199,18.136863654779482,19.827020999554684,19.84492521593209,19.79989726790884,19.840874130712123,20.938488682803772,0.0,0.0,0.0,0.0,0.0,18.178839307480512,0.0063936076690064405,49.9888283769807,19.806744676703385,0.007919223665059472,55.79678956606989,19.83212283334499,0.008180872049398854,57.52572302148829,19.778842163301007,0.008174040228959782,57.668631005074516,19.827457461923053,0.008164181419153394,57.42649620726175,20.959585941105555,0.0073860519511953285,48.50475807017986,66.28217727746775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  05:00:00,8.675,17.773032307756935,19.80284534253802,19.802903958591575,19.78298118568993,19.805421969311062,20.852565806698795,17.815001100159918,19.791532455631952,19.797767641657476,19.77183617263701,19.800501312182533,20.87847510221622,0.0,0.0,0.0,0.0,0.0,17.856969892562905,0.006393607669006441,51.02942577244314,19.780219568725883,0.007906799599112328,55.82252980257577,19.792631324723374,0.008166535732847209,57.588149004488564,19.76069115958408,0.008159675743024297,57.65454189964565,19.795580655053996,0.008149971652703505,57.462332129480934,20.904384397733644,0.0073776958064607325,48.63314348273343,66.28217727746775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  06:00:00,8.2125,17.52382890010104,19.722542746830253,19.72930343549308,19.711348587047617,19.73488714539236,20.79117413843982,17.56487529999753,19.696521468169053,19.7096187724638,19.68594587708316,19.715758174823666,20.790973384607334,0.0,0.0,0.0,0.0,0.0,17.605921699894026,0.0063936076690064405,51.84316227925933,19.67050018950785,0.00787771050429616,55.999828185084695,19.689934109434517,0.008132327856960903,57.71671101835291,19.660543167118703,0.00812541649185246,57.773650685612694,19.696629204254975,0.008116100102281943,57.57908338044927,20.790772630774853,0.007359438660642002,48.85452926974662,66.28217727746775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  07:00:00,7.425,17.338249915712247,19.624526809731464,19.640917325352113,19.61877992620813,19.647461435502073,20.734317266633457,17.378530335456805,19.58643614101204,19.610746326461637,19.581438696369723,19.617884271928318,20.719629325117925,0.0,0.0,0.0,0.0,0.0,17.418810755201363,0.0063936076690064405,52.49120276083903,19.54834547229262,0.007831091468942893,56.13077556898007,19.580575327571168,0.008077856016160578,57.76098203944527,19.54409746653132,0.008070863169971592,57.84261421299294,19.588307108354556,0.008062144117574324,57.62237925303478,20.704941383602392,0.007329440258921991,48.94534909212288,66.28217727746775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  08:00:00,7.2,17.251138606418905,19.811001863268515,19.96125128010882,19.821600769844277,19.843947293600202,20.74568296170616,17.290676097744274,20.378896123012595,20.45481348723449,20.38404971872507,20.396368521688785,20.87154772879345,0.0,0.0,0.0,0.0,0.0,17.330213589069647,0.006393607669006443,52.80502916651494,20.94679038275668,0.007790920972753859,51.24491095385063,20.94837569436016,0.00803185562603414,52.80400779266181,20.946498667605862,0.008024776163447286,52.76461912220611,20.948789749777372,0.008016528821498184,52.70309620143883,20.997412495880738,0.0073017270195270805,47.910351582433094,68.38323353293413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0248486736994,275.65018890155017,675.0132811799097,308.5412765141106,205.95980025523423,2107.77213484797,2676.6280153474077 
 01/14  09:00:00,6.8875,17.567314066308793,20.92776930750421,21.366669705975944,21.036297474430334,21.009560877040727,21.87669572155719,17.59502058200121,21.778449827288338,22.156713256230738,21.88857188258048,21.82334974095272,22.807175181840673,0.0,0.0,0.0,0.0,0.0,17.622727097693627,0.0063936076690064465,51.84100933973328,22.629130347072476,0.008534124475066546,50.54661991012795,22.94675680648553,0.008825264108275839,51.245899864153735,22.740846290730627,0.008768464003873148,51.56540488607416,22.63713860486472,0.008796633578376444,52.05275476828657,23.737654642124156,0.008081494026223867,44.79103834570032,66.28217727746815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/14  10:00:00,7.0125,18.207705171599166,22.204453013136344,23.05941357407858,22.4378885385105,22.40324786926275,23.025339305524028,18.240954442433626,23.39289274594723,24.16518771091119,23.636521735874553,23.524755275658926,24.475749816994252,0.0,0.0,0.0,0.0,0.0,18.274203713268083,0.006393607669006449,49.76210420657515,24.581332478758114,0.009947283902755066,52.2330831047781,25.270961847743806,0.010388470613342271,52.29672211628589,24.835154933238606,0.01020836420843362,52.77370333393185,24.646262682055106,0.01028977924096621,53.78975082541436,25.926160328464476,0.009648280100837594,46.77978730206591,66.28217727746815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
