Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Azimuth Angle [deg](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep) 
 12/21  00:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,7.333553923143686,-75.7607269059242 
 12/21  00:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,20.70499081306916,-75.0376978806774 
 12/21  00:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,32.50009993492328,-73.70286771182121 
 12/21  01:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,42.41242204851382,-71.89233237899329 
 12/21  01:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,50.58166589060496,-69.73494372165109 
 12/21  01:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,57.31817936132313,-67.33162229838416 
 12/21  01:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,62.938278658182334,-64.75490111714596 
 12/21  02:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,67.70553770972306,-62.055339857613895 
 12/21  02:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,71.82337696112548,-59.26813888489493 
 12/21  02:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,75.44448314648257,-56.41815124435116 
 12/21  02:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,78.68285660988909,-53.52331241053906 
 12/21  03:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,81.62410751014829,-50.59690749734114 
 12/21  03:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,84.33326376100554,-47.64906162957369 
